鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大安區,土地,復興段一小段661~690地號,1.14,商,,,1050812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460000,403509,,0.0,0,,RPUNMLMKIILFFFA67CA
中正區,房地(土地+建物),臺北市中正區重慶南路三段27巷1~30號,25.25,住,,,1050810,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),,加強磚造,,72.59,3,1,1,有,無,10560000,145475,,0.0,0,含增建或未登記建物。,RPXNMLOLRHLFFAA68DA
萬華區,房地(土地+建物),臺北市萬華區武成街101巷4弄1~30號,14.17,住,,,1050901,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0500604,26.98,1,1,1,有,無,2242249,83108,,0.0,0,含增建或未登記建物。,RPTOMLTKRHLFFBA88DA
大同區,房地(土地+建物),臺北市大同區甘州街1~30號,6.67,商,,,1050912,土地4建物1車位0,四層,八層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0680306,53.400000000000006,1,1,1,有,有,1595465,29878,,0.0,0,親友、員工或其他特殊關係間之交易。土地增值稅由買方負擔,RPQNMLLLRHLFFBA77DA
大同區,房地(土地+建物)+車位,臺北市大同區民權西路144巷1~30號,15.12,住,,,1050808,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760123,151.32,3,2,2,有,有,21000000,165362,坡道平面,37.62,2200000,,RPPNMLMJIILFFBA76DA
中山區,房地(土地+建物)+車位,臺北市中山區堤頂大道二段246巷1~30號,49.39,住,,,1050803,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960503,206.15,4,2,2,有,有,48000000,232840,坡道平面,35.51,0,,RPSOMLKLRHLFFCA08DA
中山區,房地(土地+建物),臺北市中山區民權西路9巷1~30號,8.86,商,,,1050904,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011112,80.21000000000001,1,2,1,有,有,19200000,239372,,0.0,0,,RPQNMLLLRHLFFCA87DA
內湖區,房地(土地+建物),臺北市內湖區康寧路一段214巷1~30號,28.12,住,,,1050811,土地4建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0691220,96.44,3,2,2,有,有,13600000,141020,,0.0,0,含增建或未登記建物。,RPORMLLLRHLFFCA08DA
中山區,房地(土地+建物),臺北市中山區松江路1~30號,5.55,商,,,1050720,土地1建物2車位0,三層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0701208,76.15,1,1,1,有,有,13000000,170716,,0.0,0,,RPVQMLTLRHLFFCA86DA
內湖區,土地,潭美段一小段1~30地號,37.41,其他,,,1050908,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,40096,,0.0,0,,RPTNMLSKIILFFCA97DA
信義區,房地(土地+建物),臺北市信義區中坡北路1~30號,8.08,住,,,1050723,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730712,77.33,2,2,1,有,無,17000000,219837,,0.0,0,,RPPOMLLLRHLFFDA97DA
士林區,土地,新安段四小段331~360地號,236.89,住,,,1050911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5750000,24273,,0.0,0,,RPQOMLKLRHLFFEA08DA
士林區,房地(土地+建物),臺北市士林區德行東路365巷1~30號,31.14,住,,,1050730,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720202,115.84,3,2,2,有,無,13500000,116540,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSOMLKLRHLFFEA28DA
北投區,房地(土地+建物),臺北市北投區中正街17巷1~30號,29.95,住,,,1050906,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0691231,118.55,3,2,2,有,無,20880000,176128,,0.0,0,,RPRNMLLLRHLFFEA18DA
北投區,房地(土地+建物),臺北市北投區文化三路31~60號,30.14,住,,,1050905,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750312,93.89,3,2,2,有,無,8000000,85206,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLQLRHLFFEA56DA
北投區,房地(土地+建物),臺北市北投區榮華一路1~30號,7.57,住,,,1050618,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830909,34.8,1,1,1,有,有,6600000,189655,,0.0,0,,RPPPMLTLRHLFFEA98DA
大安區,房地(土地+建物),臺北市大安區建國南路一段258巷1~30號,44.46,住,,,1050512,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0580328,109.61,4,1,1,有,無,30000000,273698,,0.0,0,含增建或未登記建物。,RPOOMLMLRHLFFFA18DA
大安區,土地,通化段二小段421~450地號,39.0,商,,,1050914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6786000,174000,,0.0,0,向政府機關承購之案件。,RPTNMLKMRHLFFFA48DA
北投區,房地(土地+建物),臺北市北投區致遠一路一段91~120號,25.0,住,,,1050709,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660324,101.84,6,2,2,有,無,12700000,124705,,0.0,0,含增建或未登記建物。,RPQNMLKMRHLFFEA08DA
北投區,土地,八仙段二小段691~720地號,4.0,其他,,,1050914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,190800,47700,,0.0,0,,RPQOMLKMRHLFFEA18DA
北投區,房地(土地+建物)+車位,臺北市北投區天母西路120巷31~60號,77.87,住,,,1050720,土地2建物1車位3,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0951127,501.2,5,2,4,有,有,120000000,239425,坡道平面,164.79,0,含增建或未登記建物。,RPPOMLLKIILFFEA17DA
士林區,房地(土地+建物),臺北市士林區德行西路111巷2弄1~30號,24.92,住,,,1050903,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680116,80.72,2,2,1,有,無,16000000,198216,,0.0,0,,RPXNMLLLRHLFFEA78DA
士林區,土地,三玉段三小段31~60地號,24.12,其他,,,1050910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,696950,28895,,0.0,0,,RPROMLLLRHLFFEA28DA
大安區,房地(土地+建物),臺北市大安區復興南路二段91~120號,11.66,商,,,1050705,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,54.97,3,2,2,有,有,12600000,229216,,0.0,0,,RPSNMLQJIILFFFA87DA
內湖區,房地(土地+建物),臺北市內湖區內湖路三段60巷12弄1~30號,31.39,住,,,1050824,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691104,106.55,3,2,2,有,無,15000000,140779,,0.0,0,,RPSNMLKLRHLFFCA97DA
南港區,房地(土地+建物)+車位,臺北市南港區興中路56巷1~30號,8.79,商,,,1050802,土地1建物1車位1,十五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831216,120.56,2,2,1,有,有,18860000,156437,坡道平面,38.18,0,,RPXPMLNLRHLFFDA09DA
內湖區,房地(土地+建物),臺北市內湖區環山路一段136巷18弄1~30號,28.96,住,,,1050806,土地4建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,77.51,3,2,1,有,無,11880000,153271,,0.0,0,含增建或未登記建物。,RPQPMLNLRHLFFCA28DA
中山區,房地(土地+建物),臺北市中山區南京東路二段91~120號,3.18,其他,,,1050817,土地3建物1車位0,十四層,十八層,套房(1房1廳1衛),住家用,見其他登記事項,0990917,48.44,1,1,1,有,有,13280000,274154,,0.0,0,,RPQNMLOLRHLFFCA18DA
中山區,房地(土地+建物),臺北市中山區新生北路三段84巷1~30號,23.8,商,,,1050808,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711230,126.75,3,2,2,有,無,18000000,142012,,0.0,0,,RPUNMLPLRHLFFCA68DA
中山區,房地(土地+建物),臺北市中山區建國北路一段78巷1~30號,29.75,住,,,1050909,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,91.32,3,2,1,有,無,16000000,175208,,0.0,0,,RPSNMLLLRHLFFCA08DA
萬華區,土地,青年段一小段751~780地號,24.0,住,,,1050719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7728000,322000,,0.0,0,親友、員工或其他特殊關係間之交易。本移轉係權利人應分擔之建物基地持分,RPTNMLLKIILFFBA17DA
中正區,房地(土地+建物),臺北市中正區和平西路一段31~60號,4.26,商,,,1050821,土地2建物1車位0,七層,十四層,套房(1房1廳1衛),住家用,見其他登記事項,0970513,38.12,1,1,1,有,有,10560000,277020,,0.0,0,含增建或未登記建物。,RPVNMLOLRHLFFAA48DA
中正區,房地(土地+建物),臺北市中正區牯嶺街91~120號,8.79,商,,,1050819,土地1建物1車位0,一層，二層,十二層,店面(店鋪),商業用,鋼筋混凝土造,0760114,112.29,0,2,1,有,有,39000000,347315,,0.0,0,含增建或未登記建物。,RPWNMLOLRHLFFAA58DA
文山區,房地(土地+建物)+車位,臺北市文山區政大三街91~120號,127.12,住,,,1050817,土地1建物1車位2,三層，四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980925,311.53999999999996,5,2,3,有,有,39500000,126789,坡道平面,59.77,0,含增建或未登記建物。,RPSNMLNJIILFFAA07DA
大安區,房地(土地+建物),臺北市大安區瑞安街241~270號,24.88,住,,,1050907,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890329,77.22,2,2,2,有,有,20000000,259000,,0.0,0,,RPWNMLMKIILFFFA87CA
大安區,房地(土地+建物),臺北市大安區光復南路308巷31~60號,8.19,住,,,1050801,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0760204,43.76,1,1,1,有,有,11650000,266225,,0.0,0,,RPQNMLSKIILFFFA87CA
大安區,房地(土地+建物),臺北市大安區通化街1~30號,99.26,商,,,1050802,土地1建物2車位0,一層，平台，騎樓，地下層,四層,店面(店鋪),,鋼筋混凝土造,,310.29,0,0,0,無,無,163000000,525315,,0.0,0,,RPRNMLTLRHLFFFA98CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,21.58,住,,,1050801,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040708,161.95999999999998,2,2,2,有,有,20000000,152763,坡道平面,45.44,2200000,,RPXNMLOJIILFFEA97CA
北投區,房地(土地+建物),臺北市北投區吉利街331~360號,37.62,住,,,1050804,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710428,96.32,3,1,2,有,無,10880000,112957,,0.0,0,,RPRPMLOJIILFFEA57CA
北投區,車位,臺北市北投區知行路214巷1~30號,0.27,住,,,1050908,土地0建物0車位1,地下一層,十層,其他,停車空間,鋼筋混凝土造,1000901,35.11,0,0,0,有,有,1650000,,坡道平面,35.11,1650000,,RPXPMLOJIILFFEA18CA
士林區,房地(土地+建物),臺北市士林區士東路2巷1~30號,29.75,住,,,1050817,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640306,72.79,2,2,1,有,無,12500000,171727,,0.0,0,含增建或未登記建物。,RPSNMLMLRHLFFEA28CA
北投區,房地(土地+建物),臺北市北投區幽雅路5巷1~30號,16.8,其他,,,1050820,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850216,53.08,1,1,1,有,有,5200000,97965,,0.0,0,露台加蓋,RPPPMLKLRHLFFEA97CA
